post_id,회사명,공고제목,정답_라벨,예측_라벨,skill_text_요약
313220.0,업스테이지,AI Tech Data Manager,인공지능학습데이터,인공지능학습데이터구축,"[주요업무] AI 모델 개발을 위한 데이터 수집, 분석, 가공, 평가, 관리 전반의 프로젝트 운영 최신 AI 모델 개발 흐름을 바탕으로 한 창의적인 벤치마크 설계 및 학습 데이터 구축 AI 모델을 활용한 텍스트 및 이미지 데이터 증강부터 Human Feedback Loop까지 신규 데이터셋 구축을 위한 유기적인 데이터 제작 파이프라인 설계와 실행 고품질 데..."
312330.0,넥스트증권,Backend Developer(추천시스템), 생성형AI엔지니어링,생성형AI엔지니어링,"[주요업무] 주요업무 - AI 기반 신사업 서비스의 추천 시스템 설계 개발 운영 합니다. - 멀티모달 모델 추론 최적화(지연 시간, 메모리, 비용 관리)를 진행하고 추천 시스템에 적용합니다. - 대규모 사용자 트래픽 대응을 위한 스케일링 로드밸런싱을 고려하여 아키텍처/인프라를 개선하고 확장합니다. [자격요건] - 5년 이상의 백엔드 엔지니어링 경력 - 추천..."
322026.0,제트,AI Product Engineer,인공지능서비스구현,생성형AI엔지니어링,"[주요업무] 다양한 Saas 툴, AI API를 연동하여, 광고 제작 시스템을 구축합니다. 재사용 가능한 내부 도구 및 서비스 개발을 통해 팀 생산성 극대화 [자격요건] 경력 최소 2년 대학교졸업(4년)이상, 졸업 예정자 지원가능 석사 학위나 경력 무관. 모델 개발은 몰라도 활용엔 자신있다 해도 지원가능합니다 ) 현재 팀이 사용하는 기술입니다. Langua..."
,"주식회사 액슬레이터(AXLRator Co., Ltd.)",[액슬레이터] 시니어 AI 개발자 정규직 채용,인공지능모델링,생성형AI엔지니어링,"[주요업무] - 보험 도메인 특화 AI 모델 설계, 개발 및 고도화 (보험 송무 데이터 학습, 과실 비율 분쟁 분석 등) - AX 플랫폼 핵심 모듈 개발 (온톨로지 구조 설계, 업무 솔루션 엔진, API 개발) - LLM 기반 서비스 구축 (도메인 특화 챗봇, RAG 파이프라인, 프롬프트 엔지니어링) - 도메인 날리지(Domain Knowledge) 체계화..."
326868.0,임팩티브에이아이,[Deepflow] AX 매니저(AI Transformation Manager),인공지능서비스기획,생성형AI엔지니어링,"[주요업무] 수요/가격 예측 AI 솔루션의 성공적인 온보딩 및 프로세스 리드 고객사의 요구사항에 부합한 AI 모델 공급을 위한 전체적인 프로젝트 및 팀 관리 솔루션 온보딩 간 고객의 요구사항을 취합하고, 고객사 및 내부 관계자들과 소통하여 원활한 온보딩 리드 예측 AI 솔루션의 ROI 창출을 위한 산업/고객별 맞춤 컨설팅 고객 온보딩 시나리오 설계, 교육 ..."
329573.0,업스테이지,Platform Software Engineer,인공지능플랫폼구축,생성형AI엔지니어링,"[주요업무] Internal Developer Platform (IDP) 구축 및 고도화 개발자가 인프라를 쉽고 안전하게 프로비저닝할 수 있도록 셀프 서비스 플랫폼을 개발하고, 개발의 시작부터 배포까지의 경험(DevEx)을 지속적으로 개선합니다. Kubernetes 기반 플랫폼 엔지니어링 EKS 및 On-Premise 환경을 아우르는 하이브리드 Kubern..."
344489.0,쓰리아이(3i corporation),SWE Project Manager,인공지능서비스기획,인공지능서비스구현,"[주요업무] Computer Vision / Machine Learning과 관련된 높은 기술 이해도를 바탕으로 기술 기반의 Software 개발 주도 Backend/Frontend/Mobile Apps 소프트웨어 개발 프로세스를 운영하고, 소프트웨어 팀을 관리 소프트웨어 개발 프로젝트를 운영하며, 적시에 품질을 보장한 소프트웨어 출시에 대한 책임 기획, ..."
340306.0,폴스타헬스케어,의료 IT서비스 개발 및 운영,인공지능서비스운영관리,생성형AI엔지니어링,"[주요업무] JAVA Application 개발 및 운영 원격판독서비스 개발 및 운영 의료 IT솔루션 개발 JAVA Spring (Backend, Frontend) 개발 및 유지보수 서비스 운영 및 신규시스템 개발 [자격요건] JAVA Spring 개발 경험 RDBMS 설계 및 구축 경험자 Git/Github를 이용한 형상관리 및 협업 경험자 [우대사항] ..."
334915.0,크라우드데이터,Physical AI Data 전략가,인공지능학습데이터,생성형AI엔지니어링,[주요업무] Physical AI Dataset Architecture 설계 -물리 기반 시뮬레이터 학습용 Scene(가정 환경 / 산업 환경) 설계 -산업 현장별 데이터 수집을 위한 고객사 인터뷰 및 로봇 데이터 수집 시나리오 기획 -Simulation Data Real-world Data 간 데이터 구조 및 활용 전략 설계 -Physical AI 데이터...
338271.0,허드슨에이아이,풀스택 개발자,인공지능서비스구현,인공지능플랫폼구축,"[주요업무] Timbr 플랫폼의 프론트엔드 백엔드 전반 기능 개발 및 운영 Python / Typescript / React / MongoDB 기반 서비스 아키텍처 설계 및 개선 신규 기능 기획부터 구현, 테스트, 배포까지의 엔드투엔드 개발 프로세스 참여 데이터베이스 및 API 설계 최적화 Docker 등을 활용한 서비스 배포 및 운영 자동화 기획자, 디자..."
