True_Label,Predicted_Label,Count,True_Total,Error_Rate
인공지능서비스구현,생성형AI엔지니어링,20,37,0.5405405405405406
인공지능모델링,생성형AI엔지니어링,19,41,0.4634146341463415
인공지능플랫폼구축,생성형AI엔지니어링,15,37,0.40540540540540543
인공지능서비스기획,생성형AI엔지니어링,15,41,0.36585365853658536
인공지능서비스기획,인공지능서비스구현,13,41,0.3170731707317073
인공지능서비스운영관리,생성형AI엔지니어링,12,36,0.3333333333333333
인공지능서비스구현,인공지능플랫폼구축,8,37,0.21621621621621623
인공지능플랫폼구축,인공지능학습데이터구축,6,37,0.16216216216216217
인공지능서비스운영관리,인공지능서비스구현,6,36,0.16666666666666666
인공지능서비스운영관리,인공지능플랫폼구축,5,36,0.1388888888888889
인공지능플랫폼구축,인공지능모델링,4,37,0.10810810810810811
인공지능서비스운영관리,인공지능서비스기획,4,36,0.1111111111111111
인공지능모델링,인공지능서비스구현,4,41,0.0975609756097561
인공지능모델링,인공지능학습데이터구축,3,41,0.07317073170731707
인공지능서비스기획,인공지능플랫폼구축,2,41,0.04878048780487805
인공지능플랫폼구축,인공지능서비스운영관리,2,37,0.05405405405405406
인공지능서비스구현,인공지능학습데이터구축,2,37,0.05405405405405406
인공지능서비스운영관리,인공지능모델링,2,36,0.05555555555555555
인공지능플랫폼구축,인공지능서비스구현,1,37,0.02702702702702703
인공지능서비스운영관리,인공지능학습데이터구축,1,36,0.027777777777777776
