job_posting_id,title,company,text,gold_role_1,gold_role_2,gold_role_3,date,url
2602120000961,"[KSTEC] AI 기반 RPA, IDP 개발 / Agentic AI 솔루션 고도화 경력 채용",지식시스템㈜,"1. AI Agent 기반 RPA & IDP 솔루션 개발 및 유지보수 2. LLM 및 AI Agent 기반 솔루션 개발 및 유지보수 3. 고객사 업무 프로세스 분석 및 자동화 컨설팅 1. 전공 : IT 관련 학과(소프트웨어 공학, 컴퓨터 공학 등) 및 기타 이공계열 전공자 2. 경력 : IT 업계 직무 경험 10년 내외 경력 1. RPA 프로젝트 수행 경험자 2. LLM 및 AI Agent 관련 프로젝트 경험자 3. IDP (Intelligent Document Processing) 프로젝트 수행 경험 4. Python, Java 등 언어 활용 능력 숙련자 5. AI Agent 시스템 개발 경험자",생성형AI엔지니어링,인공지능서비스구현,인공지능서비스운영관리,2026.02.12,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=2602120000961&infoTypeCd=CIN&infoTypeGroup=tb_workinfogubun
52854382,Multimodal AI 엔지니어 (VLM/LMM 개발),(주)씨피에스테크,"- 기술 문서 내 이미지, 그래프, 도면, 표 이해를 위한 멀티모달 AI 모델 개발 - OCR + Vision + LLM을 결합한 문서 이해 파이프라인 설계 - 이미지·그래프 기반 정보 추출 및 텍스트 의미 연결 - 문서 질의응답(QA), 요약, 비교를 위한 멀티모달 입력 처리 구조 설계 - 멀티모달 모델 성능 평가 지표 정의 및 품질 개선 사이클 운영 • 책임연구원/수석연구원/연구소장 직급으로 함께할 예정이에요. • 경력 2년 이상 • 대학교졸업(4년)이상 • 머신러닝 / 딥러닝 실무 경력 3년 이상 • Vision 또는 Multimodal 모델 개발 경험 • Python 및 PyTorch 숙련 • OCR, 문서 분석 또는 비정형 데이터 처리 경험 • AI 모델을 실제 서비스 또는 제품에 적용해 본 경험 • 복잡한 문제를 구조화하여 해결할 수 있는 엔지니어링 역량 • AI 관련 석·박사 학위 소지자 • Vision + LLM 결합 구조에 대한 이해 또는 실무 경험 • 멀티모달 QA, 문서 기반 RAG 시스템 경험 • 이미지·그래프 기반 정보 추출 및 정합성 처리 경험 • 시니어 또는 리드급으로 프로젝트 리딩 경험 • 원활한 커뮤니케이션 역량을 보유한 분",생성형AI엔지니어링,인공지능서비스구현,인공지능서비스기획,2026.01.18,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=52854382&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
336056,AI Engineer 1년 이상 (석/박사) 전문연구요원,이지케어텍,"• LLM을 활용한 연구를 개발해요. • 예측 모델 및 AI 서비스를 개발해요. • 연구 과제 관리를 담당해요. • 전문연구요원 채용으로 현역 '신입 지원' 가능 및 '전직' 가능 • 연구과제 제안 및 관리 경험 보유자 • 통계/머신러닝/딥러닝에 대한 전문지식 보유 및 관련 학과 졸업 (석사 이상) • 머신러닝 프레임워크 사용 경험 (Tensorflow, Pytorch 등) • 딥러닝 프레임워크 사용 경험 (HuggingFace, Pytorch 등) • LLM을 이용한 프로젝트 또는 서비스 개발 경험 • (외국 국적자의 경우) 중급 이상의 한국어 구사 능력 • 대규모 연구과제 책임자 역할 경험자 • 데이터처리 및 전처리 경험자 (대규모 텍스트데이터, 영상데이터, 음성데이터 등) • 모델 개발 경험자 • 특정 문제 해결을 위한 Language Model Fine Tuning 경험자 • 자연어 처리 경험자 • Pretrained Language Model 기반의 자연어 처리 경험자 • 머신러닝 관련 논문 작성 경험자 • AI서비스 개발 참여 경험자 • MLOps 및 모델 배포 경험자 (API 개발, 모델 모니터링)",생성형AI엔지니어링,인공지능서비스구현,인공지능모델링,2026.01.20,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=336056&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
326661,Partner Backend 개발자,크림(KREAM),"• KREAM 파트너 센터/어드민 백엔드 개발 • KREAM 서비스 내 판매 관련 기능 백엔드 개발 • 외부 서비스용 API 개발 및 연동 • 성능 개선 및 최적화 • 파트너 관련 운영 이슈 및 요청 해결 • 기술 리뷰/피드백 등 협업 • 만 3년 이상의 백엔드 개발 경력 • Python Backend (FastAPI/Django/Flask 등) 개발 경험 • 대용량 DBMS (RDB, NoSQL) 설계 및 운영 경험 • Docker/Kubernetes 등 컨테이너 환경에 대한 이해 및 개발/운영 경험이 있으신 분 • 분산 서비스 시스템 설계 및 개발 경험이 있으신 분 • 대용량 및 비동기 API/배치 프로세스 개발 경험이 있으신 분 • AI Agent, MCP 서버 개발 등 AI 활용 개발 경험 및 역량을 보유하신 분 • Python 외 언어/프레임워크 기반 백엔드 개발 경험이 있으신 분 • 주도적으로 경계 없는 기여를 하고자 하는 마음을 가지신 분 • E-commerce 및 리셀 관련 도메인 경험 또는 관심이 있으신 분",인공지능서비스구현,인공지능플랫폼구축,인공지능학습데이터구축,2026.01.13,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=326661&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
340342,AI 솔루션 백엔드 개발,스카이월드와이드,"• Java Spring Boot 기반 백엔드 API 개발 및 유지보수 • MSA 전환을 위한 서비스 분리 및 리팩토링 • Java Spring 서비스를 FastAPI로 단계적 전환 • CI/CD 파이프라인 설계, 구축 및 운영 • Java Spring Boot 백엔드 개발 실무 경험 6년 이상 경험 있으신분 • JPA/Hibernate 실무 경험이 있으신 분 • Python FastAPI 실무 경험이 있으신 분 • RESTful API 설계 및 개발에 능숙하신 분 • DevOps 기본 역량 있으신분 • LangChain, LangGraph, LangFlow 등 AI Agent 프레임워크 구축 경험이 있으신 분 • MCP(Model Context Protocol) 개발 경험이 있으신 분 • 정보처리기사 또는 동등한 자격증 소지 하신 분 • Git, JIRA 등 협업 도구 활용 및 프로젝트 문서화에 능숙하신 분",인공지능서비스구현,인공지능서비스운영관리,인공지능학습데이터구축,2026.02.05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=340342&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
K162212601190005,"순천 AI 및 백엔드, 프론트엔드, UI UX 개발자 모집",(수)복지용구의료기,• AI 모델 개발 및 최적화예요 • 백엔드 시스템 설계 및 구현해요 • 프론트엔드 UI 개발 및 유지보수예요 • 사용자 경험(UX) 개선 프로젝트해요 • 데이터 분석 및 처리 시스템 관리예요 • 경력 무관 (신입 지원 가능) • 대학교졸업(4년)이상 • 컴퓨터공학 관련 학위 보유자예요 • 프로그래밍 언어 숙련자예요 • 팀 협업 및 커뮤니케이션 능력해요 • 문제 해결 및 분석 능력해요 • 프로젝트 관리 경험자예요,인공지능서비스기획,인공지능서비스구현,인공지능서비스운영관리,,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=K162212601190005&infoTypeCd=VALIDATION&infoTypeGroup=tb_workinfoworknet
326282,AI Engineer,에이뉴트,"• LLM(Large Language Model) 기반 데이터 분석 시스템 설계 및 개발 • RAG(Retrieval-Augmented Generation) 파이프라인 구축 및 최적화 • 멀티모달 AI 시스템 개발 (텍스트 + 이미지 통합 분석) • 대규모 문서(XML, PDF 등) 파싱 및 전처리 자동화 • 프롬프트 엔지니어링 및 LLM 응답 품질 개선 • 벡터 DB 및 검색 시스템 설계 및 운영 • AI 모델 성능 모니터링 및 지속적인 개선 • 데이터 파이프라인 설계 및 ETL 프로세스 구축 • 학사 이상 (전공 무관, 컴퓨터공학/데이터사이언스 우대) • AI/ML 관련 실무 경력 2년 이상 • Linux/Unix 환경에서의 개발 및 운영 경험 • Git을 활용한 버전 관리 경험 • Object Detection, Image Segmentation 등 컴퓨터 비전 기술 이해 • RAG 시스템 구축 및 운영 경험 • VLM 활용 경험 • 문서 이미지 OCR 및 레이아웃 분석 경험 • 벡터 데이터베이스(Pinecone, Chroma, FAISS 등) 활용 경험 • LangChain, LlamaIndex 등 LLM 프레임워크 사용 경험 • 문서 파싱 및 대규모 문서 처리 경험 • 영어 기술 문서 읽기/작성 가능",인공지능서비스기획,인공지능서비스구현,인공지능서비스운영관리,2025.12.23,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=326282&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
335022,[Riido] 백엔드 엔지니어,스위그,"1. Riido 백엔드 코어 시스템 설계 및 개발 (Core) • Nest.js 기반 API 서버 개발 • 복잡한 비즈니스 요구사항을 유연하게 담아낼 수 있는 PostgreSQL / MongoDB 기반 데이터 모델 설계 • 기능 구현을 넘어, 서비스 안정성과 성능을 함께 고려한 구조 설계 2. AI의 실제 제품화 (AI) • LangChain / LangGraph 기반 LLM Agent 개발 • RAG, Tool 연동, Streaming 등 실사용 중심의 AI 기능 구현 3. 서비스 스케일을 위한 인프라 & 운영 (DevOps) • AWS 인프라 설계 및 운영 (EC2, ECS, Lambda 등) • CI/CD 구축 및 개선 • Sentry, Grafana 기반 모니터링 및 이슈 대응 4. “연결되는 제품”을 만드는 일 (Integrations) • Slack, Github, Figma 등 외부 서비스 API 연동 • 고객의 실제 워크플로우 속에서 Riido를 자연스럽게 녹여내는 구조 설계 5. 자율적이고 주도적인 개발 (Ownership) • 2주 단위의 스프린트에서 본인이 해결할 문제와 작업 범위를 스스로 설정 • 시키는 대로가 아닌, 고객 피드백을 분석하고 가설을 세워 빠르게 검증하는 사이클을 직접 주도 해결 방법이 없는 문제를 직접 찾아서 해결하는 분: • 기존에 누구도 해결한 적 없는 문제가 대부분입니다. 시도하고, 부딪히고, 개선하는 과정을 즐길 수 있어야 합니다. CS 기초와 기술 본질에 대한 이해가 있는 분: • 정답이 없는 과정에서 유일하게 믿을 수 있는 것은 본질입니다. 탄탄한 기초를 바탕으로 새로운 기술이 필요할 때, 빠르게 학습하고 실제 서비스에 적용할 수 있어야 합니다. 기술을 ‘도구’로 바라보는 분: • ‘이 기술 써보고 싶다’가 아니라, 그것을 써서 ‘어떤 문제’를 해결할지가 중요합니다. 전체 시스템을 이해하고 설계하고 싶은 분: • 특정 파트만 개발하는 ‘톱니바퀴’가 아니라, 서비스 전체 아키텍처를 분석하고 설계하는 경험을 하게 됩니다. ＜/＞ 이런 분과는 맞지 않을 수 있습니다. • 상세한 기획서와 1부터 10까지 정해진 업무 지시가 있어야만 시작할 수 있는 분 • 비즈니스 임팩트나 마감 기한보다, 완벽한 코드 구조와 기술적 과잉 설계를 선호하시는 분 • 불확실성과 변화를 스트레스로 받아들이시는 분 • 백엔드: Typescript, Nest.js, Python, FastMCP, Postgresql, MongoDB, Redis • AI: LangChain, LangGraph, Faiss • 인프라: AWS, Vercel, Docker, Github Actions, Github Apps, Algolia • 모니터링: Sentry, Grafana, Loki, Prometheus • 협업 및 디자인: Riido, Figma, Framer, Notion, Slack",인공지능서비스구현,인공지능플랫폼구축,인공지능학습데이터구축,2026.01.14,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=335022&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
341889,Backend Engineer (AI Agent Application),마키나락스,"• AI Agent 및 모델 컴포넌트를 서비스 환경에 연동하여, 사용자가 안정적으로 활용할 수 있는 서빙 구조를 구현합니다. • 서비스 요구사항을 바탕으로 백엔드 API와 데이터 모델을 설계·구현하고, 데이터베이스 구조를 구축합니다. • 배포 자동화와 운영 환경을 구축하고, 성능 및 안정성 개선을 주도합니다. • 시스템 모니터링 및 장애 대응을 통해 안정적인 서비스 운영을 지원합니다. • 효율적인 협업을 위해 팀 내외부와의 기술 공유·코드 리뷰·아키텍처 토론에 적극 참여합니다. • 3년 이상의 백엔드 개발 경력 또는 이에 준하는 역량을 갖추신 분 • 자료구조, 운영체제, 컴퓨터 시스템 아키텍처 등 CS 기초 지식이 탄탄하며, Git 기반의 팀 단위 개발 및 코드 협업 경험이 있는 분 • REST API에 대한 이해를 바탕으로 도메인 구조를 고려한 API 설계·구현·운영 경험이 있는 분 • 서비스 요구사항을 반영한 데이터 모델링 및 데이터베이스 설계 경험이 있는 분 • 클라우드 및 온프레미스 환경에서 Docker, Kubernetes 기반 서비스의 배포 및 운영 경험이 있는 분 • Python에 능숙하고, FastAPI를 사용한 Async API 서버를 개발하실 수 있는 분 • 비동기 작업 처리 시스템을 설계·운영하며, 장애 분석 및 트러블슈팅 경험이 있는 분 • 대규모 파일 업로드 및 처리 파이프라인을 설계·운영하며, 성능 및 안정성 이슈를 분석하고 개선한 경험이 있는 분 • 외부 IdP(Keycloak 등)를 활용한 인증·인가 연동 경험이 있는 분 • GitHub Actions, GitLab CI 등 CI/CD 도구를 활용하여 서비스 배포 자동화 및 운영을 수행한 경험이 있는 분",인공지능서비스구현,인공지능플랫폼구축,인공지능학습데이터구축,2026.02.12,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=341889&infoTypeCd=CWT&infoTypeGroup=tb_workinfogubun
53017379,(주)디윅스 인공지능 개발 연구원 (LLM 개발/응용),(주)디윅스,"• 최신 LLM 및 생성형 AI 모델 연구, 개발 및 개선 • 내부 및 고객사 대상의 AI/LLM 솔루션 설계 및 구현 • 데이터 전처리, 모델 학습, 튜닝, 평가 및 배포 자동화 • 협업을 통한 AI 서비스/제품 고도화 • 경력 5년 이상 • 컴퓨터공학, 전산학, 수학, 통계 등 관련 전공 학사 이상 (석사/박사 우대) • Python 등 프로그래밍 언어 활용 능력 경험 • PyTorch, TensorFlow 등 딥러닝 프레임워크 경험 • LLM, Transformer 기반 모델 활용/튜닝/개발 경험 • GPT, Llama, T5, BERT 등 대규모 언어 모델 적용 및 서비스 경험 • AI 학회 논문 게재 또는 데이터/모델 경진대회 입상 경험 • 클라우드(AWS, GCP, Azure) 및 MLOps 파이프라인 설계 경험",인공지능서비스구현,인공지능플랫폼구축,인공지능학습데이터구축,2026.02.05,https://www.work24.go.kr/wk/a/b/1500/empDetailAuthView.do?wantedAuthNo=53017379&infoTypeCd=CSI&infoTypeGroup=tb_workinfogubun
